Timestep, Result, Error, Runtime
1e-05, 14.778112197793037, 6.826361698131223e-11, 2.8895740509033203
3.1622776601683795e-05, 14.778112197824585, 3.671551951356378e-11, 0.8747909069061279
0.0001, 14.778112197864237, 2.936317855528614e-12, 0.27291417121887207
0.00031622776601683794, 14.778112197857915, 3.3857361358968774e-12, 0.0875399112701416
0.001, 14.778112197862692, 1.3908874052503961e-12, 0.02748394012451172
0.0031622776601683794, 14.77811219783708, 2.4220625505222415e-11, 0.008480072021484375
0.01, 14.778112195418714, 2.442586577444672e-09, 0.0026781558990478516
0.03162277660168379, 14.778111958890829, 2.389704718552821e-07, 0.0008449554443359375
0.1, 14.77808953475108, 2.2663110220477733e-05, 0.0002830028533935547
0.31622776601683794, 14.776313865980041, 0.0017983318812593296, 9.870529174804688e-05
1.0, 14.670138888888888, 0.1079733089724133, 4.6253204345703125e-05
